coin,name,token
EUR,Euro,Euro
BTC,Bitcoin,Bitcoin
ETH,Ethereum,Ether
SNT,,
NANO,Nano,Nano
XEM,,
QSP,,
BTS,,
ADX,,
APPC,,
ETC,,
RLC,,
MDA,,
EVX,,
INS,,
CDT,,
IOTA,,
BQX,,
GRS,,
LTC,,
FUEL,,
STORJ,,
XZC,,
XMR,,
ARK,,
MTH,,
ADA,,
GTO,,
GAS,,
ICN,,
XVG,,
AST,,
DGD,,
EDO,,
OMG,,
BTG,,
ENJ,,
ICX,,
DNT,,
USDT,,
AE,,
SNM,,
WAN,,
PPT,,
WAVES,,
VIA,,
SYS,,
ZEC,,
EOS,,
SUB,,
OST,,
AION,,
WTC,,
FUN,,
DLT,,
PIVX,,
STEEM,,
BCC,,
TRIG,,
CND,,
XRP,,
BNB,,
OAX,,
ELF,,
LINK,,
REQ,,
POWR,,
CHAT,,
NCASH,,
NULS,,
DASH,,
GXS,,
STORM,,
WPR,,
LEND,,
RDN,,
TNB,,
ZIL,,
WINGS,,
BRD,,
MOD,,
BCD,,
VIB,,
NEO,,
STRAT,,
KNC,,
XLM,,
SNGLS,,
IOST,,
POE,,
NAV,,
NEBL,,
AMB,,
ENG,,
POA,,
LSK,,
ARN,,
VIBE,,
LRC,,
VEN,,
BAT,,
ZRX,,
BCPT,,
QLC,,
TNT,,
RPX,,
YOYO,,
KMD,,
HSR,,
GVT,,
BNT,,
BLZ,,
MANA,,
QTUM,,
LUN,,
SALT,,
MTL,,
TRX,,
CMT,,
WABI,,
MCO,,
ONT,,
RCN,,
